,Coefficient,Mean SHAP,McFadden R2
lexical_density,0.06574222164608544,0.048844097951792474,0.9622726448413613
n_PUNCT_PunctType_Peri,0.07203789643669886,0.04848789753096867,0.9622760498433591
sichel_s,0.07633439316764656,0.0480932334484182,0.962281335664313
n_verb,0.061521616787065594,0.047657883564435316,0.9622688826884512
n_high_synsets_verb,-0.0612179014527167,0.04738737003684554,0.9622685825599427
n_controversial_Hand_arm_sensorimotor,0.059435389426969285,0.04687907117992803,0.9622672838631239
n_low_Visual_sensorimotor,0.06048809896262426,0.04663465696917801,0.962268155698097
n_controversial_Foot_leg_sensorimotor,0.059325948959078875,0.04614947781711794,0.9622671914877085
avg_sd_Torso_sensorimotor,0.09291082982532722,0.04571087296494702,0.9622993018870013
n_PUNCT_PunctType_Dash,0.10438274181856133,0.04542503893973854,0.962267685313476
n_controversial_Haptic_sensorimotor,-0.05624487458856334,0.045173661994561846,0.9622648038805831
avg_intensity_sadness,0.052527973536347965,0.04497653328718306,0.9622620645545197
n_PRON_Poss_Yes,0.05821805278087645,0.044821521621618954,0.9622662763332772
lemma_token_ratio,0.06077185869483769,0.044696833954409626,0.9622683742522975
n_controversial_Mouth_sensorimotor,0.057185901880092184,0.044673809343112936,0.9622654870207205
avg_sd_Auditory_sensorimotor,-0.07686371304443801,0.043750329038163664,0.9622827928800893
n_VERB_Aspect_Perf,-0.05205640218715697,0.04286489209544354,0.9622617261956007
n_NOUN_Number_Plur,0.05355540176001498,0.0418571406576927,0.96226252307099
avg_intensity_joy,0.04897968917606926,0.041775817228155154,0.9622596269096515
herdan_c,0.09044736327925633,0.04170356852897216,0.9622903643939299
n_VERB_Person_3,0.05172484412600912,0.04155409571629411,0.9622614445509867
n_VERB_Number_Sing,0.05172342494908905,0.041552351760101254,0.9622614435575516
n_low_Haptic_sensorimotor,0.05423600262347006,0.041336674931157016,0.9622632701934394
n_part,0.05339005577191281,0.04128579980832467,0.9622626432191748
n_PUNCT_PunctType_Comm,0.06815611600334633,0.04119489463902059,0.9622673567911624
compressibility,-0.11439224182799614,0.04062762162151901,0.9622972141564846
n_ordinal,-0.05594206496233195,0.040510998451301856,0.9622643678482732
rttr,0.05515000816797672,0.039847517555091555,0.9622639729207725
cttr,0.0551500081679767,0.03984751755509155,0.9622639729207725
n_dependency_relcl,-0.05382435079830466,0.03967218609444112,0.9622629936613113
n_VERB_Mood_Ind,-0.06073755165419196,0.03933675267518992,0.9622679419224277
n_high_Torso_sensorimotor,0.06249046431152705,0.03931272397594417,0.9622696871968505
dougast_u,0.05978825293339611,0.03910852354200538,0.9622664335438791
n_global_token_hapax_dislegomena,0.07615077790595677,0.039074955149731146,0.9622705433950551
